Date,Year,Month,Open,High,Low,Close,Adj Close,Volume
2014-09-01,2014,9,-0.9930014228651319,-0.9938938509999234,-0.9931532168903561,-0.9932012534718567,-0.9932012534718567,-0.9998664580720397
2014-10-01,2014,10,-0.9943938535456158,-0.9952584354019195,-0.9944617091015078,-0.9944784272088542,-0.9944784272088542,-0.9998677105701135
2014-11-01,2014,11,-0.9944205041874008,-0.9951948587910694,-0.9943896605750477,-0.9944205265422988,-0.9944205265422988,-0.9999083858607634
2014-12-01,2014,12,-0.9950669189687024,-0.9960408196138163,-0.9950142152880134,-0.9951575022902284,-0.9951575022902284,-0.9999320300255554
2015-01-01,2015,1,-0.9977764658581636,-0.9985517029776132,-0.9979161764313018,-0.9979023330579523,-0.9979023330579523,-0.9998317141269757
2015-02-01,2015,2,-0.9983398397452142,-0.9991693991891959,-0.9983005825718091,-0.9983364977598054,-0.9983364977598054,-0.9998888950333769
2015-03-01,2015,3,-0.9972576064817344,-0.9981591736703267,-0.997232339448546,-0.9973010540928694,-0.9973010540928694,-0.9998573971944538
2015-04-01,2015,4,-0.9982541431593486,-0.9992059804295578,-0.998180832635036,-0.9982967911375582,-0.9982967911375582,-0.9999059914250822
2015-05-01,2015,5,-0.9982110059331911,-0.9991883052566918,-0.998084009564106,-0.9982521110510438,-0.9982521110510438,-0.9999292688978737
2015-06-01,2015,6,-0.9982175478424596,-0.9991718605113603,-0.9980813258300922,-0.9982199168000461,-0.9982199168000461,-0.9999140755855206
2015-07-01,2015,7,-0.9969732408381698,-0.9978887846052152,-0.9968808069624325,-0.9969887917380017,-0.9969887917380017,-0.9998498981936663
2015-08-01,2015,8,-0.9977412329944073,-0.9986968132372026,-0.9977152807644702,-0.9978444225520944,-0.9978444225520944,-0.9998673065469903
2015-09-01,2015,9,-0.9983201025148793,-0.9992722534027921,-0.9981839096994257,-0.9983530616990327,-0.9983530616990327,-0.9999190440812541
2015-10-01,2015,10,-0.9974645866185481,-0.99836653946121,-0.997312181520201,-0.997425315335292,-0.997425315335292,-0.9998584668442244
2015-11-01,2015,11,-0.9949543514242045,-0.995635807547355,-0.9950233348612854,-0.9949314863890871,-0.9949314863890871,-0.9996200564652504
2015-12-01,2015,12,-0.9927056350963283,-0.9935886743194177,-0.9926914971656728,-0.9926883451205327,-0.9926883451205327,-0.9996483585515766
2016-01-01,2016,1,-0.9929969136378286,-0.9939609883228074,-0.9929925017174158,-0.9930925688894179,-0.9930925688894179,-0.999667728296398
2016-02-01,2016,2,-0.9933086478918777,-0.9942636989605149,-0.9931527164224563,-0.993283586350956,-0.993283586350956,-0.9996650160904941
2016-03-01,2016,3,-0.9928646309339316,-0.9939252737715588,-0.9926954025912781,-0.9929239564611658,-0.9929239564611658,-0.999604864685986
2016-04-01,2016,4,-0.9923829709476764,-0.9934374733289464,-0.9921724640852752,-0.992395273816306,-0.992395273816306,-0.9996896078058375
2016-05-01,2016,5,-0.991618564543785,-0.9925807683606399,-0.9914133906926066,-0.9915757000277495,-0.9915757000277495,-0.9996229568886809
2016-06-01,2016,6,-0.9862957283862731,-0.9869885691351352,-0.9864564931972294,-0.9862064146927484,-0.9862064146927484,-0.9991314795164083
2016-07-01,2016,7,-0.985570422882024,-0.9866270553376284,-0.9854712673083791,-0.9856577460154046,-0.9856577460154046,-0.9993987338610469
2016-08-01,2016,8,-0.9879968848230477,-0.9890799985398588,-0.9878254734744728,-0.9880845883540849,-0.9880845883540849,-0.9995399063848471
2016-09-01,2016,9,-0.9873029829888756,-0.9884330939174846,-0.9870003911496081,-0.9873051275272674,-0.9873051275272674,-0.9996529606890161
2016-10-01,2016,10,-0.9862316755163395,-0.9873219994773604,-0.9859087640215288,-0.9861861776742438,-0.9861861776742438,-0.9996448302227992
2016-11-01,2016,11,-0.9837270679980449,-0.9847782299879463,-0.983529054407891,-0.9837288477355232,-0.9837288477355232,-0.9995330290642074
2016-12-01,2016,12,-0.9808762321156395,-0.981895797862339,-0.9805900181248681,-0.9807102046352145,-0.9807102046352145,-0.9993798773782597
2017-01-01,2017,1,-0.97809847419214,-0.9788352035998147,-0.9783813194534019,-0.9781324498723616,-0.9781324498723616,-0.9990881064705546
2017-02-01,2017,2,-0.9739146189264172,-0.9748673269353955,-0.9737531890294087,-0.9737513753800776,-0.9737513753800776,-0.9991620678257538
2017-03-01,2017,3,-0.971611242457607,-0.9722895466527276,-0.9719574707868734,-0.9717679113330304,-0.9717679113330304,-0.9980350591268049
2017-04-01,2017,4,-0.969698470959033,-0.9707027462938049,-0.9692835971268112,-0.9694744778602148,-0.9694744778602148,-0.9981802378837822
2017-05-01,2017,5,-0.9498655014335358,-0.9487573713021653,-0.9504451172510416,-0.9490335948968561,-0.9490335948968561,-0.9937354668888647
2017-06-01,2017,6,-0.9271612589164978,-0.9270749068766663,-0.9285160165462157,-0.9270471033812354,-0.9270471033812354,-0.9915849008475045
2017-07-01,2017,7,-0.9307639006677896,-0.9302321037246989,-0.9319122756405828,-0.9305131419324485,-0.9305131419324485,-0.9940372916330769
2017-08-01,2017,8,-0.8918580330618393,-0.890886065871527,-0.8928276771214619,-0.8901036636589974,-0.8901036636589974,-0.9883518939718503
2017-09-01,2017,9,-0.8842113782938965,-0.8832670297601023,-0.8871924532547996,-0.8846473706835252,-0.8846473706835252,-0.9894530827271147
2017-10-01,2017,10,-0.8481740356073812,-0.8472229403271311,-0.8488227433522348,-0.846206658541485,-0.846206658541485,-0.9893700463392953
2017-11-01,2017,11,-0.7770956579536707,-0.7704121096181701,-0.779262930884575,-0.7734033411742253,-0.7734033411742253,-0.9733005164040258
2017-12-01,2017,12,-0.5547664850538297,-0.5380464359357356,-0.576379345976591,-0.5513739737725334,-0.5513739737725334,-0.9246029738378638
2018-01-01,2018,1,-0.6130435432387751,-0.6064710071475623,-0.6311632652539301,-0.6169253812644429,-0.6169253812644429,-0.9235163085194857
2018-02-01,2018,2,-0.7243593626406105,-0.7170273473934776,-0.7348658720230429,-0.7241705304138536,-0.7241705304138536,-0.9532810318659346
2018-03-01,2018,3,-0.7334327878871406,-0.7328154930344736,-0.7410632710169309,-0.736975166584083,-0.736975166584083,-0.9644170019192032
2018-04-01,2018,4,-0.7688468643654658,-0.766759532662721,-0.7699551196367108,-0.7668602983962359,-0.7668602983962359,-0.9626982297290115
2018-05-01,2018,5,-0.7527685044235325,-0.7542330779846815,-0.7549620006120874,-0.7544724367678352,-0.7544724367678352,-0.963707431447178
2018-06-01,2018,6,-0.8025209793208232,-0.8040669483397309,-0.8036792503407711,-0.8036643472222438,-0.8036643472222438,-0.9752989910562382
2018-07-01,2018,7,-0.7944403199431623,-0.7944754154539835,-0.7942739586655658,-0.793192496899632,-0.793192496899632,-0.9740329249336238
2018-08-01,2018,8,-0.8056515294029458,-0.8064167692768492,-0.8064038641038656,-0.8064356630464199,-0.8064356630464199,-0.9757147850027524
2018-09-01,2018,9,-0.8086491652600167,-0.8105105216281241,-0.808201782048146,-0.8090905556288496,-0.8090905556288496,-0.97538804334643
2018-10-01,2018,10,-0.8124728084896958,-0.8151468840705379,-0.810536466876181,-0.812816884788168,-0.812816884788168,-0.978261865081386
2018-11-01,2018,11,-0.8425265040238714,-0.8439767627480453,-0.8452223581758193,-0.8448955025031271,-0.8448955025031271,-0.9699526681414995
2018-12-01,2018,12,-0.8946288076627353,-0.8941817483390159,-0.8957195761370825,-0.8949561565231277,-0.8949561565231277,-0.9689988596378231
2019-01-01,2019,1,-0.8951266183793366,-0.8966400738785176,-0.8947537678750183,-0.8954290362538692,-0.8954290362538692,-0.9692729637712683
2019-02-01,2019,2,-0.8954984987530167,-0.8967355773657731,-0.8946275639967728,-0.8951217949992395,-0.8951217949992395,-0.9595122930719752
2019-03-01,2019,3,-0.8874667137505732,-0.889263070564411,-0.8862276991696592,-0.8872818532913934,-0.8872818532913934,-0.9452620795157516
2019-04-01,2019,4,-0.8527621366610872,-0.8528159980176476,-0.8518947450600697,-0.851596348584955,-0.851596348584955,-0.9154348931442601
2019-05-01,2019,5,-0.7913606938711518,-0.788414514734067,-0.7923133663373184,-0.7883446787085643,-0.7883446787085643,-0.866914281559874
2019-06-01,2019,6,-0.72800363835823,-0.7232114821223533,-0.7315506411661834,-0.7258355262114405,-0.7258355262114405,-0.8716522213861054
2019-07-01,2019,7,-0.6878620683985143,-0.6846232393971146,-0.694340039492305,-0.6886353572924058,-0.6886353572924058,-0.8756904436144656
2019-08-01,2019,8,-0.6888702026776702,-0.6894037882138271,-0.6914565504615111,-0.6894096053875495,-0.6894096053875495,-0.9018731043327175
2019-09-01,2019,9,-0.7126068846793092,-0.7153117294009146,-0.7137668347065648,-0.7140184843761174,-0.7140184843761174,-0.9087522316187684
2019-10-01,2019,10,-0.7564141441573476,-0.756011626280747,-0.7560036333667504,-0.7556319353095825,-0.7556319353095825,-0.8906192146422206
2019-11-01,2019,11,-0.7550880492936233,-0.7570474731931033,-0.7561026885468066,-0.7567703084009985,-0.7567703084009985,-0.871450083928791
2019-12-01,2019,12,-0.7886550455596385,-0.7900361223166515,-0.7884413950152732,-0.789106856339038,-0.789106856339038,-0.8835262243874925
2020-01-01,2020,1,-0.7582986582891779,-0.7585639577663447,-0.7573955526809979,-0.7563044125350701,-0.7563044125350701,-0.8432531786919774
2020-02-01,2020,2,-0.7186011906281695,-0.7206262763411952,-0.7190198053226209,-0.7194599194477266,-0.7194599194477266,-0.7714253216032195
2020-03-01,2020,3,-0.7991294334590178,-0.7966935658770236,-0.8052244795649797,-0.8013640084872472,-0.8013640084872472,-0.7628162282340393
2020-04-01,2020,4,-0.7929814270214603,-0.7917522955163256,-0.792361440188428,-0.7908737903227603,-0.7908737903227603,-0.7804226404184512
2020-05-01,2020,5,-0.7310232170636729,-0.7305412743687989,-0.731844538661555,-0.7303688790372078,-0.7303688790372078,-0.7635651224399636
2020-06-01,2020,6,-0.7232445488125483,-0.7259998406976161,-0.7229792928962258,-0.7236592857668442,-0.7236592857668442,-0.8763900684999695
2020-07-01,2020,7,-0.722663102416784,-0.7240831948963781,-0.7202008026699608,-0.7206714709582953,-0.7206714709582953,-0.8996987366880825
2020-08-01,2020,8,-0.6597382369711663,-0.6612310586465486,-0.6592123663996846,-0.6594596153619813,-0.6594596153619813,-0.8698152072412049
2020-09-01,2020,9,-0.6879216144130385,-0.689894844208393,-0.6889166189244846,-0.6889042243009287,-0.6889042243009287,-0.7956527261547237
2020-10-01,2020,10,-0.655219790607038,-0.655658229549267,-0.6533311865188655,-0.6524975006900635,-0.6524975006900635,-0.8068550912216603
2020-11-01,2020,11,-0.5169203115419593,-0.5119637472060005,-0.5199386157224254,-0.5112638087844058,-0.5112638087844058,-0.7923863756708941
2020-12-01,2020,12,-0.36165242069265136,-0.3542247124744926,-0.36391251154296544,-0.3528580913670165,-0.3528580913670165,-0.777188218089681
2021-01-01,2021,1,0.023441079088086025,0.049750115698021485,-0.017251940298326628,0.02638970798218045,0.02638970798218045,-0.6041681717212468
2021-02-01,2021,2,0.3565725296743323,0.38524766070512895,0.32987463905492886,0.3690330506525415,0.3690330506525415,-0.5386177024251928
2021-03-01,2021,3,0.6139377022925716,0.6343239727442761,0.5946891457749189,0.626975598471435,0.626975598471435,-0.6909874473808286
2021-04-01,2021,4,0.6942839718039439,0.701586550816284,0.6744388621329579,0.6925269604634386,0.6925269604634386,-0.6496668786724696
2021-05-01,2021,5,0.39311132886017086,0.4162963602808551,0.33703824996133164,0.37308380841185906,0.37308380841185906,-0.6366834061501256
2021-06-01,2021,6,0.0610700493387557,0.07565709562171194,0.03319763303239841,0.05854656317713928,0.05854656317713928,-0.7740553253803696
2021-07-01,2021,7,0.011010275806836226,0.01928575860018867,0.004645143921626462,0.016991217099519146,0.016991217099519146,-0.8494607785411064
2021-08-01,2021,8,0.34591994635562356,0.3553606748215244,0.3379391325411944,0.35129191413341665,0.35129191413341665,-0.8135096778283973
2021-09-01,2021,9,0.36152681588346003,0.3683999686318526,0.3433561464372801,0.35814020521718887,0.35814020521718887,-0.7906777833052719
2021-10-01,2021,10,0.6970592060147007,0.7152217345693177,0.6919500291368246,0.7134577752464307,0.7134577752464307,-0.7880674034062065
2021-11-01,2021,11,0.8013379182657194,0.8033504995911661,0.7857783807267145,0.7938723633780626,0.7938723633780626,-0.7999607263198204
2021-12-01,2021,12,0.46924240456647326,0.47309102310724066,0.44800921018840895,0.45677503420089277,0.45677503420089277,-0.824103048802227
2022-01-01,2022,1,0.22278289193997058,0.21999766658346734,0.20840515258656295,0.21493081533855915,0.21493081533855915,-0.8301818512873402
2022-02-01,2022,2,0.2306388874213071,0.2338911909030132,0.2274673042833122,0.2329929774948967,0.2329929774948967,-0.8694563649624647
